equipment_usage_id,time_id,date,day,day_name,month,year,site_name,region,latitude,longitude,equipment_name,equipment_type,manufacture,model,capacity,purchase_date,operating_hours,downtime_hours,fuel_consumption,maintenance_cost,created_at,created_by
1,20240101,2024-01-01,1,Monday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,302,11,1542,692707,2024-01-01 08:00:00,IoT
2,20240102,2024-01-02,2,Tuesday,1,2024,Site Batu B,Kalimantan,-1.2345,116.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,324,22,1587,691891,2024-01-02 08:00:00,IoT
3,20240102,2024-01-02,2,Tuesday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,334,25,1814,794589,2024-01-02 08:00:00,IoT
4,20240103,2024-01-03,3,Wednesday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,322,21,1603,645108,2024-01-03 08:00:00,IoT
5,20240104,2024-01-04,4,Thursday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,289,19,1589,516073,2024-01-04 08:00:00,IoT
6,20240104,2024-01-04,4,Thursday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Wheel Loader WL-004,Wheel Loader,Hitachi,ZW310,30,2022-01-02,299,12,1474,482527,2024-01-04 08:00:00,IoT
7,20240105,2024-01-05,5,Friday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Grader GD-005,Grader,Caterpillar,140GC,25,2022-01-05,250,22,1226,390784,2024-01-05 08:00:00,IoT
8,20240105,2024-01-05,5,Friday,1,2024,Pit Selatan F,Kalimantan,-1.8901,115.2345,Excavator EX-001,Excavator,Komatsu,PC200,20,2022-01-01,297,22,1513,722305,2024-01-05 08:00:00,IoT
9,20240106,2024-01-06,6,Saturday,1,2024,Tambang Batu D,Sulawesi,-3.1234,120.1234,Dump Truck DT-003,Dump Truck,Volvo,A40G,40,2022-01-03,313,16,1862,609673,2024-01-06 08:00:00,IoT
10,20240107,2024-01-07,7,Sunday,1,2024,Area Tambang C,Papua,-4.1234,138.1234,Hydraulic Shovel HS-006,Hydraulic Shovel,Liebherr,R 9600,50,2022-01-02,362,10,2069,861700,2024-01-07 08:00:00,IoT
