id,time_id,site_id,project_id,account_id,variance,budgeted_cost,actual_cost,created_at,created_by,date,day,day_name,month,year,site_name,region,latitude,longitude,project_name,project_manager,status,start_date,end_date,account_name,account_type,budget_category,cost
1,20240101,18,10,9,Under,163552,59215,2024-01-01 08:00:00,user_27,2024-01-01,1,Monday,1,2024,Site 18,North,-79,158,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 9,OPEX,Hardware,70615
130,20240102,3,9,9,On Budget,170957,157449,2024-01-02 08:00:00,user_92,2024-01-02,2,Tuesday,1,2024,Site 3,North,83,99,Project 9,Manager 8,Completed,2023-12-03,2025-06-29,Account 9,OPEX,Hardware,70615
731,20240102,5,9,9,Under,157608,69498,2024-01-02 08:00:00,user_33,2024-01-02,2,Tuesday,1,2024,Site 5,North,-83,-133,Project 9,Manager 8,Completed,2023-12-03,2025-06-29,Account 9,OPEX,Hardware,70615
432,20240103,19,38,9,Over,10714,20900,2024-01-03 08:00:00,user_83,2024-01-03,3,Wednesday,1,2024,Site 19,South,-16,-140,Project 38,Manager 5,On Hold,2023-12-04,2025-09-17,Account 9,OPEX,Hardware,70615
169,20240104,13,19,9,On Budget,177114,161994,2024-01-04 08:00:00,user_43,2024-01-04,4,Thursday,1,2024,Site 13,North,1,-4,Project 19,Manager 5,Completed,2023-12-05,2026-01-21,Account 9,OPEX,Hardware,70615
134,20240104,11,43,9,Under,45013,184046,2024-01-04 08:00:00,user_9,2024-01-04,4,Thursday,1,2024,Site 11,South,-35,-8,Project 43,Manager 1,On Hold,2023-12-05,2025-12-31,Account 9,OPEX,Hardware,70615
57,20240105,9,20,9,Over,36629,193080,2024-01-05 08:00:00,user_41,2024-01-05,5,Friday,1,2024,Site 9,East,-89,-99,Project 20,Manager 1,On Hold,2023-12-06,2026-01-24,Account 9,OPEX,Hardware,70615
11,20240105,13,22,9,Over,78170,96050,2024-01-05 08:00:00,user_66,2024-01-05,5,Friday,1,2024,Site 13,North,1,-4,Project 22,Manager 9,On Hold,2023-12-06,2026-02-14,Account 9,OPEX,Hardware,70615
569,20240106,2,28,9,On Budget,74268,38096,2024-01-06 08:00:00,user_75,2024-01-06,6,Saturday,1,2024,Site 2,South,-33,-109,Project 28,Manager 9,Active,2023-12-07,2026-02-15,Account 9,OPEX,Hardware,70615
864,20240107,13,31,9,Over,144052,117962,2024-01-07 08:00:00,user_37,2024-01-07,7,Sunday,1,2024,Site 13,North,1,-4,Project 31,Manager 4,On Hold,2023-12-08,2026-01-25,Account 9,OPEX,Hardware,70615
876,20240107,11,4,9,Under,51643,119494,2024-01-07 08:00:00,user_63,2024-01-07,7,Sunday,1,2024,Site 11,South,-35,-8,Project 4,Manager 4,Active,2023-12-08,2026-02-18,Account 9,OPEX,Hardware,70615
38,20240108,6,4,9,Under,90813,59485,2024-01-08 08:00:00,user_42,2024-01-08,8,Monday,1,2024,Site 6,South,-31,78,Project 4,Manager 4,Active,2023-12-08,2026-02-18,Account 9,OPEX,Hardware,70615
297,20240109,7,4,9,Under,181599,162589,2024-01-09 08:00:00,user_6,2024-01-09,9,Tuesday,1,2024,Site 7,North,53,-79,Project 4,Manager 4,Active,2023-12-08,2026-02-18,Account 9,OPEX,Hardware,70615
479,20240109,2,12,9,Under,42710,166069,2024-01-09 08:00:00,user_88,2024-01-09,9,Tuesday,1,2024,Site 2,South,-33,-109,Project 12,Manager 10,Completed,2023-12-10,2026-01-26,Account 9,OPEX,Hardware,70615
530,20240110,15,40,9,On Budget,29366,101680,2024-01-10 08:00:00,user_24,2024-01-10,10,Wednesday,1,2024,Site 15,North,6,-140,Project 40,Manager 8,Active,2023-12-11,2025-12-14,Account 9,OPEX,Hardware,70615
1059,20240111,2,1,9,On Budget,167439,103860,2024-01-11 08:00:00,user_51,2024-01-11,11,Thursday,1,2024,Site 2,South,-33,-109,Project 1,Manager 5,Completed,2023-12-12,2026-02-18,Account 9,OPEX,Hardware,70615
478,20240111,12,27,9,Under,176648,131293,2024-01-11 08:00:00,user_78,2024-01-11,11,Thursday,1,2024,Site 12,North,-67,14,Project 27,Manager 2,Active,2023-12-12,2026-02-19,Account 9,OPEX,Hardware,70615
87,20240112,5,5,9,Under,94096,137100,2024-01-12 08:00:00,user_1,2024-01-12,12,Friday,1,2024,Site 5,North,-83,-133,Project 5,Manager 5,On Hold,2023-12-13,2026-01-28,Account 9,OPEX,Hardware,70615
474,20240112,5,39,9,Under,195605,21566,2024-01-12 08:00:00,user_50,2024-01-12,12,Friday,1,2024,Site 5,North,-83,-133,Project 39,Manager 9,Active,2023-12-13,2026-01-28,Account 9,OPEX,Hardware,70615
614,20240113,17,42,9,Over,44384,52996,2024-01-13 08:00:00,user_47,2024-01-13,13,Saturday,1,2024,Site 17,East,57,-82,Project 42,Manager 6,Completed,2023-12-14,2026-01-29,Account 9,OPEX,Hardware,70615
857,20240114,3,18,9,Over,166427,77655,2024-01-14 08:00:00,user_33,2024-01-14,14,Sunday,1,2024,Site 3,North,83,99,Project 18,Manager 9,Completed,2023-12-15,2026-02-21,Account 9,OPEX,Hardware,70615
356,20240114,7,14,9,On Budget,21400,155348,2024-01-14 08:00:00,user_69,2024-01-14,14,Sunday,1,2024,Site 7,North,53,-79,Project 14,Manager 1,Active,2023-12-15,2026-01-10,Account 9,OPEX,Hardware,70615
82,20240115,2,14,9,On Budget,39344,79505,2024-01-15 08:00:00,user_90,2024-01-15,15,Monday,1,2024,Site 2,South,-33,-109,Project 14,Manager 1,Active,2023-12-15,2026-01-10,Account 9,OPEX,Hardware,70615
740,20240116,18,26,9,Over,109471,135549,2024-01-16 08:00:00,user_100,2024-01-16,16,Tuesday,1,2024,Site 18,North,-79,158,Project 26,Manager 4,Active,2023-12-17,2026-01-31,Account 9,OPEX,Hardware,70615
1076,20240116,3,26,9,Over,67935,206080,2024-01-16 08:00:00,user_12,2024-01-16,16,Tuesday,1,2024,Site 3,North,83,99,Project 26,Manager 4,Active,2023-12-17,2026-01-31,Account 9,OPEX,Hardware,70615
334,20240117,3,24,9,Over,193979,167848,2024-01-17 08:00:00,user_77,2024-01-17,17,Wednesday,1,2024,Site 3,North,83,99,Project 24,Manager 1,On Hold,2023-12-18,2026-02-23,Account 9,OPEX,Hardware,70615
649,20240118,16,8,9,Over,105315,170110,2024-01-18 08:00:00,user_87,2024-01-18,18,Thursday,1,2024,Site 16,East,70,136,Project 8,Manager 4,On Hold,2023-12-19,2026-01-17,Account 9,OPEX,Hardware,70615
618,20240118,19,10,2,Over,72701,51195,2024-01-18 08:00:00,user_52,2024-01-18,18,Thursday,1,2024,Site 19,South,-16,-140,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 2,CAPEX,Software,1282
165,20240119,17,10,2,Under,32132,94030,2024-01-19 08:00:00,user_65,2024-01-19,19,Friday,1,2024,Site 17,East,57,-82,Project 10,Manager 5,Active,2023-12-02,2024-11-16,Account 2,CAPEX,Software,1282
979,20240119,17,38,2,Under,36174,70325,2024-01-19 08:00:00,user_9,2024-01-19,19,Friday,1,2024,Site 17,East,57,-82,Project 38,Manager 5,On Hold,2023-12-04,2025-09-17,Account 2,CAPEX,Software,1282
447,20240120,6,21,2,Over,43721,157776,2024-01-20 08:00:00,user_100,2024-01-20,20,Saturday,1,2024,Site 6,South,-31,78,Project 21,Manager 3,On Hold,2023-12-21,2026-02-10,Account 2,CAPEX,Software,1282
783,20240121,18,25,2,Over,92868,152240,2024-01-21 08:00:00,user_20,2024-01-21,21,Sunday,1,2024,Site 18,North,-79,158,Project 25,Manager 1,Active,2023-12-22,2026-02-16,Account 2,CAPEX,Software,1282
437,20240121,18,31,2,Over,78341,104405,2024-01-21 08:00:00,user_54,2024-01-21,21,Sunday,1,2024,Site 18,North,-79,158,Project 31,Manager 4,On Hold,2023-12-08,2026-01-25,Account 2,CAPEX,Software,1282
518,20240122,18,40,2,On Budget,17572,177531,2024-01-22 08:00:00,user_84,2024-01-22,22,Monday,1,2024,Site 18,North,-79,158,Project 40,Manager 8,Active,2023-12-11,2025-12-14,Account 2,CAPEX,Software,1282
1122,20240123,13,49,2,On Budget,173156,43571,2024-01-23 08:00:00,user_8,2024-01-23,23,Tuesday,1,2024,Site 13,North,1,-4,Project 49,Manager 9,Active,2023-12-24,2026-01-26,Account 2,CAPEX,Software,1282
506,20240123,10,27,2,Over,41009,56506,2024-01-23 08:00:00,user_53,2024-01-23,23,Tuesday,1,2024,Site 10,West,-3,-38,Project 27,Manager 2,Active,2023-12-12,2026-02-19,Account 2,CAPEX,Software,1282
728,20240124,1,47,2,Under,161175,8273,2024-01-24 08:00:00,user_18,2024-01-24,24,Wednesday,1,2024,Site 1,North,-84,-40,Project 47,Manager 5,Completed,2023-12-25,2025-12-17,Account 2,CAPEX,Software,1282
137,20240125,14,47,2,Under,162393,85906,2024-01-25 08:00:00,user_14,2024-01-25,25,Thursday,1,2024,Site 14,East,-79,55,Project 47,Manager 5,Completed,2023-12-25,2025-12-17,Account 2,CAPEX,Software,1282
752,20240125,20,18,2,Under,176640,6184,2024-01-25 08:00:00,user_50,2024-01-25,25,Thursday,1,2024,Site 20,South,-65,14,Project 18,Manager 9,Completed,2023-12-15,2026-02-21,Account 2,CAPEX,Software,1282
932,20240126,14,18,2,Over,102730,94499,2024-01-26 08:00:00,user_63,2024-01-26,26,Friday,1,2024,Site 14,East,-79,55,Project 18,Manager 9,Completed,2023-12-15,2026-02-21,Account 2,CAPEX,Software,1282
871,20240126,20,6,2,On Budget,177125,60839,2024-01-26 08:00:00,user_82,2024-01-26,26,Friday,1,2024,Site 20,South,-65,14,Project 6,Manager 6,Active,2023-12-27,2026-01-30,Account 2,CAPEX,Software,1282
1081,20240127,14,6,2,On Budget,94586,125510,2024-01-27 08:00:00,user_29,2024-01-27,27,Saturday,1,2024,Site 14,East,-79,55,Project 6,Manager 6,Active,2023-12-27,2026-01-30,Account 2,CAPEX,Software,1282
889,20240128,15,2,2,Under,19694,92530,2024-01-28 08:00:00,user_52,2024-01-28,28,Sunday,1,2024,Site 15,North,6,-140,Project 2,Manager 6,Completed,2023-12-29,2026-01-30,Account 2,CAPEX,Software,1282
535,20240128,14,29,2,Over,73580,175697,2024-01-28 08:00:00,user_2,2024-01-28,28,Sunday,1,2024,Site 14,East,-79,55,Project 29,Manager 9,Active,2023-12-29,2026-01-13,Account 2,CAPEX,Software,1282
445,20240129,6,32,2,Over,19724,64980,2024-01-29 08:00:00,user_29,2024-01-29,29,Monday,1,2024,Site 6,South,-31,78,Project 32,Manager 6,Completed,2023-12-30,2026-02-24,Account 2,CAPEX,Software,1282
